"name","seed","value"
"ta120",3216433634,26549
"ta001",3654675649,1278
"ta002",3867736144,1359
"ta003",2348234726,1081
"ta004",1875967113,1293
"ta005",269894430,1235
"ta006",3260097371,1195
"ta007",3421571293,1239
"ta008",3003478603,1206
"ta009",1369826963,1230
"ta010",2129167031,1108
"ta011",3788778082,1582
"ta012",905165968,1659
"ta013",1051077620,1501
"ta014",3877723609,1377
"ta015",835152096,1419
"ta016",2599676544,1397
"ta017",3359688425,1484
"ta018",2382835459,1543
"ta019",1371523954,1593
"ta020",3101550094,1591
"ta021",3876343280,2297
"ta022",3674319644,2099
"ta023",1002416598,2331
"ta024",2113459326,2223
"ta025",2057147579,2294
"ta026",1977103378,2228
"ta027",4272115533,2273
"ta028",1261479626,2200
"ta029",3132265560,2237
"ta030",4232083885,2178
"ta031",4161935298,2724
"ta032",1393970455,2834
"ta033",1382328174,2621
"ta034",1223963461,2751
"ta035",2892919008,2863
"ta036",2194651987,2829
"ta037",1399353557,2725
"ta038",3629926339,2683
"ta039",2362251410,2554
"ta040",963535331,2782
"ta041",3779939683,3025
"ta042",1509321436,2884
"ta043",688782502,2869
"ta044",25314898,3063
"ta045",1720095004,3005
"ta046",1486154325,3006
"ta047",173880890,3121
"ta048",565504963,3042
"ta049",3334850992,2903
"ta050",1553491687,3091
"ta051",3294887867,3893
"ta052",2992317241,3743
"ta053",915536790,3712
"ta054",1516792541,3768
"ta055",1329163633,3660
"ta056",1950558103,3715
"ta057",3875863008,3745
"ta058",1499110593,3742
"ta059",3950002036,3791
"ta060",4158963235,3788
"ta061",1464810080,5493
"ta062",4007428898,5268
"ta063",1453115307,5175
"ta064",1975667964,5018
"ta065",1203716457,5250
"ta066",2807112173,5135
"ta067",1890581356,5246
"ta068",3238873888,5094
"ta069",709977008,5448
"ta070",2747171729,5324
"ta071",3506031670,5770
"ta072",227579061,5362
"ta073",1326256292,5679
"ta074",589940570,5826
"ta075",2602788054,5478
"ta076",1103004811,5308
"ta077",3989066105,5600
"ta078",2346735570,5640
"ta079",3443992834,5875
"ta080",2938648981,5848
"ta081",3238253613,6278
"ta082",3923064434,6298
"ta083",3314773390,6308
"ta084",4278815496,6323
"ta085",900609928,6400
"ta086",2586481552,6445
"ta087",2013694480,6391
"ta088",3863705648,6499
"ta089",144420328,6337
"ta090",407507868,6516
"ta091",3175640740,10872
"ta092",181013614,10503
"ta093",1362246025,10923
"ta094",2952325592,10889
"ta095",996963481,10537
"ta096",3744561591,10333
"ta097",1391308859,10860
"ta098",3237066223,10734
"ta099",461682692,10438
"ta100",569607092,10685
"ta101",4103634244,11354
"ta102",1024716597,11393
"ta103",1043656081,11447
"ta104",1849641575,11413
"ta105",3340675371,11346
"ta106",742193506,11359
"ta107",3428657201,11464
"ta108",2071538398,11444
"ta109",679532685,11372
"ta110",2620225068,11391
"ta111",3679174331,26191
"ta112",4162637084,26738
"ta113",545433970,26505
"ta114",425536662,26559
"ta115",3488200986,26402
"ta116",3431229753,26558
"ta117",382081256,26449
"ta118",2088791795,26735
"ta119",25984358,26112
"ta120",1419561701,26576
"ta001",883734953,1278
"ta002",1811691720,1359
"ta003",557809207,1081
"ta004",4205611740,1293
"ta005",485988180,1235
"ta006",1995761062,1195
"ta007",803560641,1239
"ta008",3195866895,1206
"ta009",2756166113,1230
"ta010",2390732717,1108
"ta011",2814870033,1582
"ta012",1663744488,1659
"ta013",3083505937,1496
"ta014",2698482725,1377
"ta015",3991556857,1419
"ta016",476860624,1397
"ta017",963748471,1484
"ta018",535533200,1543
"ta019",1175925407,1593
"ta020",23930618,1591
"ta021",1304523517,2297
"ta022",3910838718,2099
"ta023",1890611108,2331
"ta024",1958861604,2223
"ta025",2557342383,2294
"ta026",3869671672,2229
"ta027",875613125,2273
"ta028",694157986,2206
"ta029",894424790,2237
"ta030",3285607123,2178
"ta031",408110723,2724
"ta032",3188156280,2836
"ta033",760744246,2621
"ta034",3089208571,2751
"ta035",1649087485,2863
"ta036",861574563,2829
"ta037",1245411569,2725
"ta038",578750867,2683
"ta039",2547255961,2554
"ta040",2486714825,2782
"ta041",3103722198,3039
"ta042",3041417910,2886
"ta043",2640018120,2861
"ta044",3625282381,3064
"ta045",2300073271,2988
"ta046",2396378273,3014
"ta047",2208140624,3114
"ta048",786625521,3042
"ta049",3754263054,2902
"ta050",1183458794,3091
"ta051",3445492448,3893
"ta052",2655661330,3743
"ta053",294954385,3674
"ta054",1627357195,3755
"ta055",1652901638,3627
"ta056",3985013758,3711
"ta057",797020692,3727
"ta058",3200830784,3728
"ta059",1898727980,3784
"ta060",415451123,3787
"ta061",4032311981,5493
"ta062",2464873533,5268
"ta063",1772569644,5175
"ta064",3621630664,5018
"ta065",2722206119,5250
"ta066",3543381518,5135
"ta067",3621912008,5246
"ta068",1602282198,5094
"ta069",3647806398,5448
"ta070",1501703740,5322
"ta071",3221570806,5771
"ta072",2861749361,5362
"ta073",3556844785,5679
"ta074",3339901722,5818
"ta075",2824999631,5491
"ta076",4180904529,5308
"ta077",931104697,5602
"ta078",1602824303,5640
"ta079",911568131,5875
"ta080",164444150,5845
"ta081",1352104386,6287
"ta082",3856796291,6270
"ta083",3716840606,6353
"ta084",163028061,6326
"ta085",3796730264,6368
"ta086",3376097284,6454
"ta087",2470329692,6361
"ta088",431034673,6509
"ta089",3385322555,6345
"ta090",1792356450,6520
"ta091",4185704316,10872
"ta092",2586223647,10494
"ta093",358500660,10923
"ta094",498521199,10889
"ta095",1126967472,10537
"ta096",1775971690,10334
"ta097",127311872,10857
"ta098",269701964,10734
"ta099",4045991357,10438
"ta100",3204961744,10685
"ta101",3557732531,11291
"ta102",2422142713,11343
"ta103",4259655639,11468
"ta104",1954203764,11423
"ta105",1286720842,11378
"ta106",3794370165,11340
"ta107",3508699645,11463
"ta108",499829682,11457
"ta109",3814515494,11350
"ta110",2725869786,11419
"ta111",1193474736,26207
"ta112",1156780938,26703
"ta113",2608073476,26515
"ta114",2503876550,26553
"ta115",3956778217,26414
"ta116",1327336816,26556
"ta117",1764454825,26473
"ta118",432054714,26659
"ta119",3585103318,26131
"ta120",275825987,26531
"ta001",3993092749,1278
"ta002",995149932,1359
"ta003",126201414,1081
"ta004",3677142190,1293
"ta005",3438365444,1235
"ta006",1766224921,1195
"ta007",881621138,1239
"ta008",4140728721,1206
"ta009",2481610837,1230
"ta010",2196729015,1108
"ta011",2886979284,1582
"ta012",2432174569,1659
"ta013",4108177818,1496
"ta014",346183029,1378
"ta015",2386199905,1419
"ta016",3345972989,1397
"ta017",380831932,1484
"ta018",3295878712,1545
"ta019",2862179634,1593
"ta020",3420745213,1591
"ta021",4287391400,2297
"ta022",2094117733,2099
"ta023",4032347707,2334
"ta024",164170305,2223
"ta025",3466396402,2294
"ta026",2846116044,2226
"ta027",3972767685,2273
"ta028",1429432747,2200
"ta029",1308833962,2237
"ta030",397613161,2178
"ta031",3772957666,2724
"ta032",2220846781,2834
"ta033",1096297820,2621
"ta034",2471285230,2751
"ta035",1211124372,2863
"ta036",791710406,2829
"ta037",993193759,2725
"ta038",1568266407,2683
"ta039",1448783436,2554
"ta040",3159357623,2782
"ta041",1821172598,3026
"ta042",4101957593,2891
"ta043",3109751838,2858
"ta044",2001587728,3071
"ta045",1292604591,3010
"ta046",3094487812,3006
"ta047",3022664067,3115
"ta048",690699667,3042
"ta049",1555497322,2902
"ta050",1769329357,3091
"ta051",3510484733,3893
"ta052",3250303378,3746
"ta053",1812464806,3677
"ta054",1110410883,3755
"ta055",364059305,3658
"ta056",3245925495,3718
"ta057",238652466,3755
"ta058",3067118885,3728
"ta059",2665100694,3781
"ta060",2712101814,3787
"ta061",765059822,5493
"ta062",719401622,5268
"ta063",1985412862,5175
"ta064",877617770,5018
"ta065",3212305592,5250
"ta066",4007668527,5135
"ta067",6333090,5246
"ta068",218030227,5094
"ta069",1654838984,5448
"ta070",4025536303,5322
"ta071",3483209923,5770
"ta072",1098771454,5362
"ta073",896170314,5679
"ta074",993561696,5826
"ta075",1178351086,5491
"ta076",4014479015,5308
"ta077",3304716397,5602
"ta078",2515346867,5630
"ta079",3394713678,5875
"ta080",3287742500,5848
"ta081",2623933510,6294
"ta082",3810921157,6278
"ta083",1854591213,6374
"ta084",1457351401,6323
"ta085",3177799024,6409
"ta086",3356774323,6445
"ta087",3275011323,6345
"ta088",2661218746,6443
"ta089",2731368278,6365
"ta090",225059737,6483
"ta091",596344398,10872
"ta092",3333962252,10512
"ta093",3774505582,10922
"ta094",4182550403,10889
"ta095",3584098683,10537
"ta096",675034097,10334
"ta097",161914733,10857
"ta098",3229009438,10734
"ta099",3308933289,10438
"ta100",3153861912,10676
"ta101",2535866681,11354
"ta102",3766675711,11361
"ta103",3432191358,11431
"ta104",155478085,11408
"ta105",3637047549,11380
"ta106",3223569691,11385
"ta107",1256520053,11457
"ta108",2455314827,11438
"ta109",947196522,11372
"ta110",1664251201,11447
"ta111",4276580075,26171
"ta112",3089595193,26730
"ta113",4040890972,26505
"ta114",2828174095,26588
"ta115",3234502257,26393
"ta116",4286852044,26554
"ta117",2759009666,26424
"ta118",3342207715,26677
"ta119",790552735,26144
"ta120",194604717,26603
"ta001",2003698236,1278
"ta002",2867644864,1359
"ta003",705131657,1081
"ta004",929933146,1293
"ta005",1510557557,1235
"ta006",2045686458,1195
"ta007",1629619172,1239
"ta008",362636528,1206
"ta009",1153827741,1230
"ta010",3969779415,1108
"ta011",260705858,1585
"ta012",3601164378,1659
"ta013",3182098620,1496
"ta014",207329371,1377
"ta015",3966053793,1419
"ta016",3128060655,1397
"ta017",3101175409,1484
"ta018",1799464379,1543
"ta019",1565949586,1593
"ta020",1901185891,1599
"ta021",554939105,2297
"ta022",3066247945,2099
"ta023",2451839506,2328
"ta024",1211463569,2223
"ta025",1778619099,2294
"ta026",786944701,2226
"ta027",2968201781,2273
"ta028",710272331,2200
"ta029",4174064520,2237
"ta030",2496680507,2178
"ta031",141397176,2724
"ta032",3884510454,2834
"ta033",583434569,2621
"ta034",4229237738,2751
"ta035",1380128268,2863
"ta036",571441799,2829
"ta037",601942028,2725
"ta038",1242156777,2683
"ta039",987419272,2554
"ta040",1147866864,2782
"ta041",2251813884,3039
"ta042",2465997669,2890
"ta043",1221955185,2871
"ta044",1349880831,3064
"ta045",2471139383,3010
"ta046",3649651586,3006
"ta047",827812151,3118
"ta048",3351802462,3042
"ta049",3215910043,2902
"ta050",3366830968,3099
"ta051",2831747015,3893
"ta052",1219620774,3733
"ta053",3869655686,3658
"ta054",2743882071,3765
"ta055",1905454100,3644
"ta056",2367760418,3746
"ta057",2365986076,3753
"ta058",236410359,3731
"ta059",462264930,3767
"ta060",51102280,3796
"ta061",340410810,5493
"ta062",2391329533,5268
"ta063",3362849321,5175
"ta064",3062765841,5018
"ta065",1625884499,5250
"ta066",638005104,5135
"ta067",165915947,5246
"ta068",1347230211,5094
"ta069",3837835449,5448
"ta070",2676853191,5324
"ta071",1188665010,5771
"ta072",757904318,5349
"ta073",3848568642,5679
"ta074",2381867072,5810
"ta075",2764050862,5502
"ta076",3116402911,5308
"ta077",2243481655,5602
"ta078",3391415837,5640
"ta079",3071335450,5875
"ta080",2537236166,5848
"ta081",190385396,6304
"ta082",3809342660,6246
"ta083",1842871274,6339
"ta084",1313373429,6307
"ta085",681216612,6376
"ta086",2254036118,6487
"ta087",134637078,6386
"ta088",3192810341,6534
"ta089",3587956413,6356
"ta090",1760989524,6505
"ta091",1692814726,10872
"ta092",2497225575,10501
"ta093",498593214,10923
"ta094",2989073741,10889
"ta095",3712263551,10537
"ta096",4017183192,10334
"ta097",3367349363,10857
"ta098",2496892114,10734
"ta099",396948424,10438
"ta100",80350620,10685
"ta101",7242169,11367
"ta102",1093481337,11365
"ta103",2547038827,11468
"ta104",1907262094,11455
"ta105",1843351886,11373
"ta106",2196210786,11359
"ta107",915378747,11460
"ta108",72264478,11502
"ta109",45074023,11350
"ta110",3054860910,11414
"ta111",2039055046,26176
"ta112",1331875765,26717
"ta113",922089793,26522
"ta114",1045220618,26550
"ta115",2657735897,26430
"ta116",1214969072,26569
"ta117",2341091031,26461
"ta118",520169611,26668
"ta119",4060285005,26119
"ta120",2142228562,26577
"ta001",3455684264,1278
"ta002",125198535,1359
"ta003",390723652,1081
"ta004",1342427710,1293
"ta005",3928907880,1235
"ta006",101781226,1195
"ta007",3931712400,1239
"ta008",4227647926,1206
"ta009",2738867070,1230
"ta010",3089683087,1108
"ta011",3974904494,1582
"ta012",3166898662,1660
"ta013",2842882358,1496
"ta014",4198720281,1378
"ta015",3207802141,1419
"ta016",3641160931,1397
"ta017",2672595262,1484
"ta018",332953402,1543
"ta019",3913209642,1593
"ta020",1264767985,1591
"ta021",1804826529,2297
"ta022",2068272852,2099
"ta023",294485632,2328
"ta024",3334890475,2223
"ta025",626241666,2294
"ta026",2630653127,2228
"ta027",1307342336,2273
"ta028",1655517294,2200
"ta029",1262171682,2237
"ta030",2592181217,2178
"ta031",2187619472,2724
"ta032",2043884638,2836
"ta033",2800558280,2621
"ta034",3902060169,2751
"ta035",1916912241,2863
"ta036",2605183105,2829
"ta037",3007906124,2725
"ta038",2121836998,2683
"ta039",3629743779,2554
"ta040",2457947567,2782
"ta041",1555368198,3035
"ta042",4108171505,2892
"ta043",4270975393,2869
"ta044",3610767379,3071
"ta045",2460073191,3010
"ta046",2605565825,3007
"ta047",2400204569,3125
"ta048",2982781434,3042
"ta049",1960831423,2902
"ta050",724201723,3099
"ta051",2920464180,3894
"ta052",2841097540,3741
"ta053",1469463136,3672
"ta054",1591883434,3741
"ta055",1434983771,3656
"ta056",1491332659,3746
"ta057",2492865829,3731
"ta058",627046740,3740
"ta059",4234337662,3781
"ta060",4158374789,3791
"ta061",207373436,5493
"ta062",2446680290,5268
"ta063",2643458531,5175
"ta064",1953473869,5018
"ta065",2562843485,5250
"ta066",32210195,5135
"ta067",1768991139,5246
"ta068",2721315790,5094
"ta069",447082524,5448
"ta070",1575609838,5322
"ta071",3020334302,5779
"ta072",3216398239,5349
"ta073",1904182946,5690
"ta074",1639993818,5826
"ta075",4265991064,5467
"ta076",113614509,5308
"ta077",2807941208,5600
"ta078",3989706958,5640
"ta079",2190459926,5875
"ta080",1890442042,5848
"ta081",2598378241,6299
"ta082",1330070835,6274
"ta083",1814408744,6357
"ta084",3570395394,6323
"ta085",2867383878,6354
"ta086",1789483602,6464
"ta087",2671997839,6354
"ta088",1988543801,6464
"ta089",3947621387,6372
"ta090",2698471688,6498
"ta091",1632884889,10872
"ta092",128639426,10501
"ta093",2192530030,10923
"ta094",2636402168,10889
"ta095",2608805717,10526
"ta096",3294166768,10331
"ta097",1691274990,10857
"ta098",4112439595,10734
"ta099",2893240404,10438
"ta100",3273494122,10685
"ta101",3358151221,11304
"ta102",3386896973,11372
"ta103",3859531010,11468
"ta104",3646755672,11418
"ta105",455480631,11369
"ta106",2799498822,11347
"ta107",3755498426,11460
"ta108",88238428,11451
"ta109",258977209,11350
"ta110",3077768034,11431
"ta111",2955815574,26166
"ta112",1613004000,26738
"ta113",2965500106,26500
"ta114",1206456217,26533
"ta115",92884298,26413
"ta116",877466304,26559
"ta117",2198689640,26474
"ta118",1160970861,26658
"ta119",3478257187,26121
"ta120",116477034,26583
